type,label,definition,examples
domain,MISC,"특정 도메인으로 분류하기 어려운 일반 대화(ChitChat), 감정 표현 및 다양한 분야의 지식에 대한 질문을 포함합니다. AI에게 노래나 이야기 등 특정 역할을 요청하는 발화도 여기에 속합니다.","""심심해 재밌는 책 들려 줘"", ""노래 불러봐"", ""한라산 높이 알려 줘"", ""우주가 뭐야"", ""김세정 알아"" 등"
intent,Adjust,기존 설정(알람/타이머/온도/볼륨 등)을 수정·변경합니다.,"""매일 8시 알람 꺼주고 6시 알람으로 바꿔 줘"", ""4시 50분 알람 취소하고 4시 45분에 알람 울려 줘"", ""내일 아침 알람 5시 20분으로 바꿔 줘"""
intent,Call,택시 호출 등 외부 호출·예약을 요청합니다.,"""택시 호출해 줘"", ""택시 좀 불러 줘"", ""택시 불러줘"""
intent,Calculate,수학적 계산이나 산술 연산 결과를 요청합니다.,"""일 더하기 일은 몇이야"", ""구 곱하기 689년"", ""100 나누기 100은"""
intent,Check,타이머/알람 등의 남은 시간·상태를 확인합니다.,"""알람 몇 분 남았어요"", ""타이머 몇 분 남았어"", ""타이머 몇 분 남았니"""
intent,Chit-Chat,잡담·감정 표현·개인 질문 등 과업 비관련 대화를 합니다.,"""나 심심해"", ""그게 대답이 끝이냐"", ""너 몇 살이야"""
intent,Compare,두 시점/항목(예: 오늘↔내일 날씨)의 차이를 비교해 달라고 요청합니다.,"""오늘과 오늘 날씨와 내일 날씨 비교 좀 해 줘 봐"", ""오늘 날씨 어제랑 비교해서 알려줘"", ""내일 날씨랑 오늘 날씨 비교해 줘"""
intent,Connect,외부 서비스/앱과의 연동·로그인·열기 등 연결 동작을 요청합니다.,"""멜론 열어줘"", ""지니뮤직 연결해줘"", ""멜론 연동돼"""
intent,Control,기기/서비스를 조작(열기·닫기·시작·정지·모드 전환 등)하도록 지시합니다. 전원 on/off는 'Turn On/Off'로 분리합니다.,"""좀 더운데"", ""KBS 7번 틀어 줘"", ""냉장고 문 열어 줘"""
intent,Explain,현상이나 결과의 이유·원인·배경을 설명해 달라고 요청합니다.,"""날씨 왜 이렇게 추워"", ""날씨가 왜 이렇게 추운지 과학적 설명을 해주지 않을래"", ""왜 우산 챙겨야 돼 햇빛이 많은데"""
intent,how to,특정 기능/설정/연동 방법 등 절차와 사용법을 묻습니다.,"""사운드 크기 설정 어떻게"", ""TV 스위치 연결하는 방법"", ""투야 전동 전동 커튼 연결하는 방법"""
intent,Inquiry,제품·서비스·개념에 대한 설명/사양/가격/정의 등 일반 정보를 묻습니다.,"""워시타워 보증기간"", ""내 워시타워 제품 설명해 줘"", ""요즘 공기청정기 얼마야"""
intent,Locate,지역 기반 장소 검색(근처 가게·식당·시설 등)을 요청합니다.,"""서울에 미실린 식당 알려 줘"", ""용문동 정육점 알려 줘"", ""집 맛집 알려 줘"""
intent,Monitor,"기기·환경의 현재 상태나 설정값, 센서 정보를 조회합니다.","""워시타워 상태 말해 줘"", ""거실 에어컨 설정 어떻게 돼 있어"", ""도어락 상태 알려 줘"""
intent,Play,음악/라디오/채널 등 미디어 재생을 요청합니다.,"""장범준의 꽃송이가 틀어 봐"", ""지드래곤의 삐딱하게 틀어줘"", ""좋은 음악 들려줘"""
intent,Prepare,상황 대비(우산·마스크 등) 필요 여부를 물어 행동 준비를 돕는 조언을 요청합니다.,"""대전 용문동 마스크 써야 되나 알려 줘"", ""오늘 마스크 써야 해"", ""내일 출근할 때 우산 챙겨야"""
intent,Recommend,콘텐츠 추천이나 상황 맞춤 제안을 요청합니다.,"""노래 좀 추천해 줘"", ""비 오는데 좋은 음악 있어"", ""이런 날씨에 어울리는 노래가 뭘까"""
intent,Remove,설정된 항목(알람/타이머 등)을 취소·삭제합니다.,"""알람 취소"", ""내일 오전 9시 47분 알람 삭제해 줘"", ""8시 11분 알람 꺼 줘"""
intent,Search,콘텐츠 식별/차트·정보 검색을 요청합니다(예: '이 노래 뭐야').,"""지금 나오는 노래"", ""이거 어디 드라마에서 나온 노래야"", ""최신 가요 탑텐 열 곡 알려 줘"""
intent,Seek,판단·전망·의견을 구합니다(정치/금융 등 민감 주제 포함).,"""윤석열 대통령 탄핵이 정당한가"", ""파면된 윤석열의 재판 결과는 어떻게 나올 것 같아"", ""비트코인 오를 것 같아 내릴 것 같아"""
intent,Set,새로운 예약/알람/타이머/재생 작업을 생성·설정합니다.,"""알람 설정해 줘"", ""내일 아침 7시에 클래식 노래 켜 줘"", ""알람 맞춰 줘"""
intent,Solve,오작동·연결 문제 등 오류 상황의 원인 파악과 해결을 요청합니다.,"""TV 연결돼 있는데 왜 안 켜 줘"", ""TV 등록돼 있는데 왜 안 켜져"", ""YouTube 뮤직은 연결이 안돼"""
intent,Translate,언어 간 번역 또는 단어의 뜻·표현을 요청합니다.,"""꽃이 영어로 뭐냐고"", ""영어로 크럼피 뜻이 뭐야"", ""잘 자라는 인사말을 일본어로 알려줘"""
intent,Turn Off,기기나 기능을 끄거나 비활성화하도록 지시합니다.,"""TV 꺼 줘"", ""스타일러 꺼"", ""식탁 등 꺼"""
intent,Turn On,기기나 기능을 켜거나 활성화하도록 지시합니다.,"""스타일러 켜 줘"", ""TV 켜 줘"", ""TV 좀 켜 줄래"""
intent,can you,에이전트가 특정 동작을 수행할 수 있는지 가능 여부·권한을 확인합니다.,"""나누기 할 수 있어"", ""너 곱하기 할 수 있어"", ""그러면 그 삼성 공기청정기 이건 너 뭐 돼"""
